id,date,merchant,description,amount,category,subcategory,source_card,receipt_status,receipt_email_id,receipt_email_subject,receipt_file,email_search_query,submission_status,priority,business_purpose,notes
BF-20250106-001,2025-01-06,Palo Alto,Palo Alto - Restaurant,26.88,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: SQ *PALO ALTO Palo Alto CA
BF-20250107-001,2025-01-07,Verve Coffee Roasters,Verve Coffee Roasters - Restaurant,22.50,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: SQ *VERVE COFFEE ROASTERS Palo Alto CA
BF-20250112-001,2025-01-12,Bedford Gardens,Bedford Gardens - Restaurant,64.08,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*BEDFORD GARDENS Brooklyn NY
BF-20250115-002,2025-01-15,Don Angie,Don Angie - Restaurant,168.83,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*DON ANGIE New York NY
BF-20250116-001,2025-01-16,Hamburger America,Hamburger America - Restaurant,65.04,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*HAMBURGER AMERICA New York NY
BF-20250119-001,2025-01-19,Square Diner,Square Diner - Restaurant,76.68,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: SQ *SQUARE DINER New York NY
BF-20250121-003,2025-01-21,Chez Maman,Chez Maman - Restaurant,84.69,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*CHEZ MAMAN - EAST San Francisco CA
BF-20250121-001,2025-01-21,Red Hot Chilli Peppe,Red Hot Chilli Peppe - Restaurant,34.83,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST* RED HOT CHILLI PEPPE SAN CARLOS CA
BF-20250123-001,2025-01-23,Doppio Zero,Doppio Zero - Restaurant,93.53,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*DOPPIO ZERO - SAN CA San Carlos CA
BF-20250124-002,2025-01-24,Mensho Tokyo,Mensho Tokyo - Restaurant,96.48,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*MENSHO - GEARY San Francisco CA
BF-20250126-001,2025-01-26,The Refuge,The Refuge - Restaurant,37.78,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*THE REFUGE - SAN CAR San Carlos CA
BF-20250129-001,2025-01-29,Impasto,Impasto - Restaurant,45.29,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*IMPASTO San Carlos CA
BF-20250210-001,2025-02-10,Cafe Mogador,Cafe Mogador - Restaurant,39.80,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST* CAFE MOGADOR WILLIAM BROOKLYN NY
BF-20250215-001,2025-02-15,Saucy Lukes Barbecue Buckeye A,Saucy Lukes Barbecue Buckeye A - Restaurant,38.85,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: SQ *SAUCY LUKES BARBECUE Buckeye AZ
BF-20250219-001,2025-02-19,Dig Inn,Dig Inn - Restaurant,30.81,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST* DIG INN SEASONAL MAR NEW YORK NY
BF-20250222-001,2025-02-22,Dos Toros,Dos Toros - Restaurant,20.88,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST* DOS TOROS - CARMINE NEW YORK NY
BF-20250226-002,2025-02-26,Blind Tasting,Blind Tasting - Restaurant,53.75,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST* BLIND TASTING BEER & SAN CARLOS CA
BF-20250309-001,2025-03-09,Rosecrans,Rosecrans - Restaurant,50.08,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: SQ *ROSECRANS New York NY
BF-20250309-004,2025-03-09,Spot Dessert Bar,Spot Dessert Bar - Restaurant,35.89,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*SPOT DESSERT BAR - L Long Island C NY
BF-20250309-002,2025-03-09,Stumptown Coffee Roas,Stumptown Coffee Roas - Restaurant,27.90,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: SQ *STUMPTOWN COFFEE ROAS New York NY
BF-20250309-003,2025-03-09,Le Village,Le Village - Restaurant,23.36,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST*LE VILLAGE 4F New York NY
BF-20250312-001,2025-03-12,Dos Toros,Dos Toros - Restaurant,35.50,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: TST* DOS TOROS - CARMINE NEW YORK NY
BF-20250315-001,2025-03-15,Sm?R,Sm?R - Restaurant,55.25,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business meal,Backfill: SQ *SM?R New York NY
